Gene,PCC,SSIM,RMSE,JS,Rank_PCC,Rank_SSIM,Rank_RMSE,Rank_JS,AS
Car7,0.8195216086824446,0.7819260633386479,1.1302947392742178,0.3500939113210195,5.0,7.0,8.0,22.0,0.3
Col1a1,0.7823029200255851,0.737879454401486,1.2010793731224712,0.3408517208925514,26.0,28.0,26.0,12.0,0.6571428571428571
Rab27b,0.8361319470102182,0.8066075664232406,1.1082968161008953,0.35022303921816994,1.0,1.0,2.0,23.0,0.19285714285714287
Mesp2,0.8055305526533735,0.7753717831975153,1.1314825593708908,0.35497368156926695,15.0,12.0,9.0,29.0,0.4642857142857143
Bambi,0.7855241671807968,0.7469307392340083,1.205478420629476,0.3312451473490657,24.0,21.0,27.0,5.0,0.55
Nfe2,0.8123725545997683,0.7960955026145843,1.119692797130545,0.36165059473676664,12.0,3.0,3.0,33.0,0.36428571428571427
Cldn5,0.7992887663798127,0.7518993958112735,1.1538304194202083,0.36039623921578956,19.0,20.0,14.0,32.0,0.6071428571428571
Smarcd3,0.804157518869006,0.7631686976345677,1.1669358128721545,0.3393744641945486,17.0,17.0,20.0,8.0,0.44285714285714284
Bin2,0.808186919590532,0.769352434164384,1.1575999038291376,0.338672250854098,14.0,14.0,16.0,7.0,0.36428571428571427
Abcc4,0.8133886919993556,0.7786028273871526,1.1585174024727363,0.3436150151007275,9.0,9.0,19.0,17.0,0.38571428571428573
Slc38a5,0.8125640480939663,0.770414077200968,1.1547127987962689,0.34696905166153297,10.0,13.0,15.0,19.0,0.40714285714285714
Wnt5a,0.776969370403144,0.7323892290000881,1.206966752032997,0.3417934602991674,27.0,29.0,28.0,14.0,0.7
Zfp57,0.7465915455174268,0.7058293442053816,1.23815470437125,0.3366149257288825,31.0,31.0,30.0,6.0,0.7
Esam,0.7915796012611941,0.7467518415591979,1.1835115561811707,0.3439909671631442,22.0,22.0,22.0,18.0,0.6
Tet3,0.688241916349244,0.6519443793727575,1.2748191323219686,0.32980219023740126,35.0,35.0,34.0,3.0,0.7642857142857142
Postn,0.8123904194148374,0.78412972917639,1.1411994204582474,0.34910335590600217,11.0,6.0,12.0,21.0,0.35714285714285715
Cdh2,0.7121659552388363,0.6759404773614754,1.2779528498825952,0.3281205924157391,34.0,33.0,35.0,2.0,0.7428571428571429
Sox2,0.7683041051284337,0.7382088939727768,1.2516688531853895,0.3256561958391247,29.0,27.0,31.0,1.0,0.6285714285714286
Col4a1,0.7124353814850881,0.6748197483567501,1.273197272980242,0.33111220697340216,33.0,34.0,33.0,4.0,0.7428571428571429
Morc4,0.8332727984973899,0.8042468326296539,1.108082115069396,0.3554398188309111,2.0,2.0,1.0,31.0,0.2571428571428571
Jarid2,0.7270850136019624,0.6834123865745909,1.2546715973029454,0.3421710879405336,32.0,32.0,32.0,15.0,0.7928571428571428
Aldh1a2,0.784744286818514,0.7388171093649794,1.1906769851075647,0.3507499316741691,25.0,25.0,24.0,24.0,0.7
Tbx1,0.8167096386715499,0.7769535689694902,1.1295283980206097,0.35332373669241235,8.0,10.0,7.0,26.0,0.36428571428571427
Cyp26a1,0.8046039221476685,0.7636161639266359,1.128930698718529,0.3681106132543132,16.0,16.0,6.0,35.0,0.5214285714285715
Igfbp3,0.7954266076461651,0.7541481894430876,1.1799485305277335,0.3405328639648117,20.0,19.0,21.0,11.0,0.5071428571428571
Lefty1,0.8113163105362123,0.7678153736098767,1.1418313617500513,0.35357517245200226,13.0,15.0,13.0,28.0,0.4928571428571429
Socs2,0.8286478785393344,0.7936432937245617,1.1241980374362632,0.3410639107324753,3.0,4.0,5.0,13.0,0.17857142857142858
Hoxb4,0.7751844132657055,0.7460256235603131,1.2008841615554025,0.3394094876571115,28.0,23.0,25.0,9.0,0.6071428571428571
Pitx1,0.7892521991492943,0.7384880702915534,1.1899571105581428,0.3523877445866213,23.0,26.0,23.0,25.0,0.6928571428571428
Nr1d1,0.8230532003141383,0.785337816426957,1.1404544280206261,0.34301312802243294,4.0,5.0,11.0,16.0,0.2571428571428571
Coro1a,0.8167930922483017,0.7768778493244415,1.1342067417906028,0.34906739203812087,7.0,11.0,10.0,20.0,0.34285714285714286
Irx5,0.7947502682321953,0.7436686489887463,1.1584447914995504,0.3620432955401702,21.0,24.0,18.0,34.0,0.6928571428571428
Ash2l,0.7547479367053587,0.7110858731486408,1.2265074790527852,0.33951530981630723,30.0,30.0,29.0,10.0,0.7071428571428572
Dnmt3l,0.8189648775293152,0.7808836490391083,1.1240550907511433,0.3550727391401795,6.0,8.0,4.0,30.0,0.34285714285714286
Bmi1,0.8012657021702834,0.760023721855859,1.1579873136868022,0.3533941735703043,18.0,18.0,17.0,27.0,0.5714285714285714
